,id,book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,goodreads_book_id,tag_name,description
483,484,29059,29059,3185242,84,385720920,9780385720920.0,Chuck Palahniuk,2001.0,Choke,Choke,eng,3.69,154643,162963,5328,4541,13841,46314,60868,37399,https://images.gr-assets.com/books/1403186013m/29059.jpg,https://images.gr-assets.com/books/1403186013s/29059.jpg,29059,[],"Victor Mancini, a medical-school dropout, is an antihero for our deranged times. Needing to pay elder care for his mother, Victor has devised an ingenious scam: he pretends to choke on pieces of food while dining in upscale restaurants. He then allows himself to be “saved” by fellow patrons who, feeling responsible for Victor’s life, go on to send checks to support him. When he’s not pulling this stunt, Victor cruises sexual addiction recovery workshops for action, visits his addled mom, and spends his days working at a colonial theme park. His creator, Chuck Palahniuk, is the visionary we need and the satirist we deserve."
484,485,4934,4934,3393910,1072,374528373,9780374528380.0,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",1880.0,Братья Карамазовы,The Brothers Karamazov,eng,4.3,155838,178135,7640,2339,5887,22752,51450,95707,https://images.gr-assets.com/books/1427728126m/4934.jpg,https://images.gr-assets.com/books/1427728126s/4934.jpg,4934,[],"The Brothers Karamazov is a murder mystery, a courtroom drama, and an exploration of erotic rivalry in a series of triangular love affairs involving the “wicked and sentimental” Fyodor Pavlovich Karamazov and his three sons―the impulsive and sensual Dmitri; the coldly rational Ivan; and the healthy, red-cheeked young novice Alyosha. Through the gripping events of their story, Dostoevsky portrays the whole of Russian life, is social and spiritual striving, in what was both the golden age and a tragic turning point in Russian culture.This award-winning translation by Richard Pevear and Larissa Volokhonsky remains true to the verbalinventiveness of Dostoevsky’s prose, preserving the multiple voices, the humor, and the surprising modernity of the original. It is an achievement worthy of Dostoevsky’s last and greatest novel."
485,486,307791,307791,2285229,69,375822747,9780375822740.0,Jeanne DuPrau,2003.0,The City of Ember,"The City of Ember (Book of Ember, #1)",eng,3.85,198809,204085,9322,3684,13227,53014,74561,59599,https://images.gr-assets.com/books/1397931596m/307791.jpg,https://images.gr-assets.com/books/1397931596s/307791.jpg,307791,[],"An alternate cover edition can be found here.Many hundreds of years ago, the city of Ember was created by the Builders to contain everything needed for human survival. It worked…but now the storerooms are almost out of food, crops are blighted, corruption is spreading through the city and worst of all—the lights are failing. Soon Ember could be engulfed by darkness…But when two children, Lina and Doon, discover fragments of an ancient parchment, they begin to wonder if there could be a way out of Ember. Can they decipher the words from long ago and find a new future for everyone? Will the people of Ember listen to them?"
486,487,7670,7670,997271,122,60541814,9780060541810.0,Michael Crichton,1969.0,The Andromeda Strain,The Andromeda Strain,,3.87,173186,178917,2555,1599,9379,48894,69876,49169,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,7670,[],"The United States government is given a warning by the pre-eminent biophysicists in the country: current sterilization procedures applied to returning space probes may be inadequate to guarantee uncontaminated re-entry to the atmosphere. Two years later, seventeen satellites are sent into the outer fringes of space to collect organisms and dust for study. One of them falls to earth, landing in a desolate area of Arizona. Twelve miles from the landing site, in the town of Piedmont, a shocking discovery is made: the streets are littered with the dead bodies of the town's inhabitants, as if they dropped dead in their tracks.--back cover"
487,488,11566,11566,15599,162,451933028,9780451933030.0,Stephen King,1996.0,The Green Mile,The Green Mile,eng,4.42,173950,191109,4873,725,3044,19770,59813,107757,https://images.gr-assets.com/books/1373903563m/11566.jpg,https://images.gr-assets.com/books/1373903563s/11566.jpg,11566,[],"When it first appeared, one volume per month, Stephen King's THE GREEN MILE was an unprecedented publishing triumph: all six volumes ended up on the New York Times bestseller lists—simultaneously—and delighted millions of fans the world over.Welcome to Cold Mountain Penitentiary, home to the Depression-worn men of E Block. Convicted killers all, each awaits his turn to walk the Green Mile, keeping a date with ""Old Sparky,"" Cold Mountain's electric chair. Prison guard Paul Edgecombe has seen his share of oddities in his years working the Mile. But he's never seen anyone like John Coffey, a man with the body of a giant and the mind of a child, condemned for a crime terrifying in its violence and shocking in its depravity. In this place of ultimate retribution, Edgecombe is about to discover the terrible, wondrous truth about Coffey, a truth that will challenge his most cherished beliefes... and yours."
488,489,2547,2547,2938937,721,000100039X,9780001000390.0,Kahlil Gibran,1923.0,The Prophet,The Prophet,eng,4.22,142641,164552,6263,2748,6601,24667,47472,83064,https://images.gr-assets.com/books/1355046521m/2547.jpg,https://images.gr-assets.com/books/1355046521s/2547.jpg,2547,"['mary', 'todd', 'lincoln', 'mary', 'westmacott', 'maryamah', 'karpov', 'maryhigginsclark', 'maryjanice', 'maryjanice', 'davidson', 'maryland', 'masada', 'masallar', 'masami', 'tsuda', 'masaru', 'emoto', 'masashi', 'kishimoto', 'masculinity', 'mash', 'up', 'mashup', 'mason', 'jar', 'books', 'masonicare', 'mass', 'mass', 'media', 'massachusetts', 'massacres', 'massage', 'master', 'master', 'and', 'commander', 'master', 'commander', 'master', 'master', 'thesis', 'aesthetics', 'masterpiece', 'masters', 'of', 'rome', 'masters', 'of', 'rome', 'series', 'masters', 'of', 'the', 'shadowlands', 'masterworks', 'mastery', 'matched', 'matched', 'series', 'matched', 'trilogy', 'matematica', 'matemática', 'materially', 'owned', 'books', 'maternity', 'mates', 'mates', 'and', 'dates', 'mates', 'dates', 'mates', 'dates', 'mates', 'dates', 'series', 'math', 'math', 'and', 'science', 'math', 'books', 'math', 'history', 'math', 'physics', 'math', 'science', 'mathematical', 'mathematics', 'matheson', 'mathew', 'reilly', 'mathias', 'malzieu', 'maths', 'maths', 'science', 'matica', 'matilda', 'matreidsla', 'matreiðslubækur', 'matsuri', 'hino', 'matt', 'fraction', 'matt', 'books', 'matthew', 'matthew', 'fitzsimmons', 'matthew', 'mather', 'matthew', 'pearl', 'matthew', 'reilly', 'matthew', 'reilly', 'jack', 'west', 'matthew', 'reilly', 'shane', 'schofield', 'matthew', 'shardlake', 'matthew', 'shardlake', 'series', 'matthews', 'jason', 'mattis', 'mature', 'ya', 'mature', 'young', 'adult', 'maturin', 'maturita', 'maud', 'hart', 'lovelace', 'maude', 'maugham', 'maupin', 'maupin', 'armistead', 'maura', 'isles', 'maureen', 'johnson', 'maurice', 'sendak', 'max', 'max', 'barry', 'max', 'books', 'max', 'brooks', 'max', 'frisch', 'max', 'lucado', 'max', 'ride', 'maximum', 'maximum', 'ride', 'maximum', 'ride', 'maximum', 'ride', 'books', 'maximum', 'ride', 'manga']","Kahlil Gibran’s masterpiece, The Prophet, is one of the most beloved classics of our time. Published in 1923, it has been translated into more than twenty languages, and the American editions alone have sold more than nine million copies.The Prophet is a collection of poetic essays that are philosophical, spiritual, and, above all, inspirational. Gibran’s musings are divided into twenty-eight chapters covering such sprawling topics as love, marriage, children, giving, eating and drinking, work, joy and sorrow, housing, clothes, buying and selling, crime and punishment, laws, freedom, reason and passion, pain, self-knowledge, teaching, friendship, talking, time, good and evil, prayer, pleasure, beauty, religion, and death."
489,490,15196,15196,1947012,37,394541553,9780394541560.0,Art Spiegelman,1985.0,Maus: A Survivor's Tale : My Father Bleeds History,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",eng,4.35,184007,191615,4837,2822,4801,21104,56900,105988,https://images.gr-assets.com/books/1327884972m/15196.jpg,https://images.gr-assets.com/books/1327884972s/15196.jpg,15196,[],"A story of a Jewish survivor of Hitler's Europe and his son, a cartoonist who tries to come to terms with his father's story and history itself."
490,491,2866718,2866718,2892871,67,312379838,9780312379830.0,"P.C. Cast, Kristin Cast",2008.0,Untamed: A House of Night Novel,"Untamed (House of Night, #4)",en-US,3.95,191743,198350,3356,5701,13859,43080,56984,78726,https://images.gr-assets.com/books/1438037020m/2866718.jpg,https://images.gr-assets.com/books/1438037020s/2866718.jpg,2866718,[],"Zoey Redbird's adventures at vampyre finishing school take a wild and dangerous turn as loyalties are tested and shocking true intentions come to light, in this spellbinding fourth novel in the House of Night series."
491,492,7967,7967,2327777,99,812550757,9780812550760.0,Orson Scott Card,1986.0,Speaker for the Dead,"Speaker for the Dead (Ender's Saga, #2)",en-US,4.04,164287,182764,6579,1855,8031,36323,70924,65631,https://images.gr-assets.com/books/1295660894m/7967.jpg,https://images.gr-assets.com/books/1295660894s/7967.jpg,7967,[],"Now available in mass market, the revised, definitive edition of the Hugo and Nebula Award-winning classic. In this second book in the saga set 3,000 years after the terrible war, Ender Wiggin is reviled by history as the Xenocide--the destroyer of the alien Buggers. Now, Ender tells the true story of the war and seeks to stop history from repeating itself. ...In the aftermath of his terrible war, Ender Wiggin disappeared, and a powerful voice arose: The Speaker for the Dead, who told the true story of the Bugger War.Now, long years later, a second alien race has been discovered, but again the aliens' ways are strange and frightening...again, humans die. And it is only the Speaker for the Dead, who is also Ender Wiggin the Xenocide, who has the courage to confront the mystery...and the truth.Speaker for the Dead, the second novel in Orson Scott Card's Ender Quintet, is the winner of the 1986 Nebula Award for Best Novel and the 1987 Hugo Award for Best Novel."
492,493,11138,11138,801500,152,684823780,9780684823780.0,C.S. Lewis,1952.0,Mere Christianity,Mere Christianity,eng,4.31,184759,198433,6041,4215,6220,23223,54958,109817,https://images.gr-assets.com/books/1468102872m/11138.jpg,https://images.gr-assets.com/books/1468102872s/11138.jpg,11138,[],"In the classic Mere Christianity, C.S. Lewis, the most important writer of the 20th century, explores the common ground upon which all of those of Christian faith stand together. Bringing together Lewis’ legendary broadcast talks during World War Two from his three previous books The Case for Christianity, Christian Behavior, and Beyond Personality, Mere Christianity provides an unequaled opportunity for believers and nonbelievers alike to hear this powerful apologetic for the Christian faith."
493,494,29044,29044,221359,141,1400031702,9781400031700.0,Donna Tartt,1992.0,The Secret History,The Secret History,eng,4.07,168405,189596,13324,3685,9750,32410,66858,76893,https://images.gr-assets.com/books/1451554846m/29044.jpg,https://images.gr-assets.com/books/1451554846s/29044.jpg,29044,[],"Under the influence of their charismatic classics professor, a group of clever, eccentric misfits at an elite New England college discover a way of thinking and living that is a world away from the humdrum existence of their contemporaries. But when they go beyond the boundaries of normal morality they slip gradually from obsession to corruption and betrayal, and at last - inexorably - into evil."
494,495,4953,4953,42857,65,375725784,9780375725780.0,Dave Eggers,2000.0,A Heartbreaking Work of Staggering Genius,A Heartbreaking Work of Staggering Genius,eng,3.68,145459,149779,8673,7877,15434,35148,50148,41172,https://images.gr-assets.com/books/1327714834m/4953.jpg,https://images.gr-assets.com/books/1327714834s/4953.jpg,4953,[],"'When you read his extraordinary memoir you don't laugh, then cry, then laugh again; you somehow experience these emotions all at once.'""Well, this was when Bill was sighing a lot. He had decided that after our parents died he just didn't want any more fighting between what was left of us. He was twenty-four, Beth was twenty-three, I was twenty-one, Toph was eight, and all of us were so tried already, from that winter. So when something would come up, any little thing, some bill to pay or decision to make, he would just sigh, his eyes tired, his mouth in a sorry kind of smile. But Beth and I...Jesus, we were fighting with everyone, anyone, each other, with strangers at bars, anywhere -- we were angry people wanting to exact revenge. We came to California and we wanted everything, would take what was ours, anything within reach. And I decided that little Toph and I, he with his backward hat and long hair, living together in our little house in Berkeley, would be world-destroyers. We inherited each other and, we felt, a responsibility to reinvent everything, to scoff and re-create and drive fast while singing loudly and pounding the windows. It was a hopeless sort of exhilaration, a kind of arrogance born of fatalism, I guess, of the feeling that if you could lose a couple of parents in a month, then basically anything could happen, at any time -- all bullets bear your name, all cars are there to crush you, any balcony could give way; more disaster seemed only logical. And then, as in Dorothy's dream, all these people I grew up with were there, too, some of them orphans also, most but not all of us believing that what we had been given was extraordinary, that it was time to tear or break down, ruin, remake, take and devour. This was San Francisco, you know, and everyone had some dumb idea -- I mean, wicca? -- and no one there would tell you yours was doomed. Thus the public nudity, and this ridiculous magazine, and the Real World tryout, all this need, most of it disguised by sneering, but all driven by a hyper-awareness of this window, I guess, a few years when your muscles are taut, coiled up and vibrating. But what to do with the energy? I mean, when we drive, Toph and I, and we drive past people, standing on top of all these hills, part of me wants to stop the car and turn up the radio and have us all dance in formation, and part of me wants to run them all over."""
495,496,1295,1295,1584694,161,553381679,9780553381670.0,Jean M. Auel,1980.0,The Clan of the Cave Bear,"The Clan of the Cave Bear (Earth's Children, #1)",eng,4.02,176062,187874,5137,3977,10151,37279,63914,72553,https://images.gr-assets.com/books/1385331302m/1295.jpg,https://images.gr-assets.com/books/1385331302s/1295.jpg,1295,"['fallen', 'fallen', 'angel', 'fallen', 'angels', 'fallen', 'angels', 'series', 'fallen', 'crest', 'fallen', 'crest', 'high', 'fallen', 'in', 'love', 'fallen', 'series', 'fallen', 'star', 'fallen', 'star', 'series', 'falling', 'falling', 'kingdoms', 'falling', 'under', 'falling', 'under', 'series', 'fallout', 'false', 'identity', 'false', 'teaching', 'falsehood', 'fame', 'families', 'families', 'in', 'crisis', 'family', 'family', 'and', 'faith', 'family', 'and', 'friends', 'family', 'book', 'club', 'family', 'collection', 'family', 'drama', 'family', 'dynamics', 'family', 'dysfunction', 'family', 'fiction', 'family', 'guilt', 'family', 'history', 'family', 'isssues', 'family', 'issues', 'family', 'library', 'family', 'life', 'family', 'owned', 'family', 'parenting', 'family', 'problems', 'family', 'read', 'aloud', 'family', 'read', 'alouds', 'family', 'relations', 'family', 'relationship', 'family', 'relationships', 'family', 'reunited', 'family', 'room', 'family', 'room', 'built', 'in', 'family', 'saga', 'family', 'sagas', 'family', 'secrets', 'family', 'series', 'family', 'storytime', 'family', 'struggles', 'family', 'values', 'familypicturebooks', 'famine', 'famous', 'famous', 'famous', 'five', 'famous', 'five', 'series', 'famous', 'hero', 'famous', 'people', 'famous', 'writers', 'challenge', 'famtasy', 'fan', 'fan', 'fic', 'fan', 'fiction', 'fanasty', 'fanatasy', 'fancy', 'nancy', 'fandom', 'fandom', 'stuff', 'fandom', 'type', 'books', 'to', 'read', 'fanfic', 'fanfiction', 'fang', 'fangers', 'fannie', 'flag', 'fannie', 'flagg', 'fannish', 'fanny', 'flagg', 'fanny', 'osbourne', 'stevenson', 'fant', 'epic', 'fantacy', 'fantagraphics', 'fantaisie', 'fantas', 'fantascienza', 'fantascienza', 'fantasy', 'fantasi', 'fantasia', 'fantasia', 'epica', 'fantasmas', 'fantastic', 'fantastic', 'afernoon', 'fantastic', 'books', 'why', 'to', 'read', 'them', 'fantastic', 'fantasy', 'fantastic', 'four', 'fantastical', 'fantastik']","This novel of awesome beauty and power is a moving saga about people, relationships, and the boundaries of love. Through Jean M. Auel's magnificent storytelling we are taken back to the dawn of modern humans, and with a girl named Ayla we are swept up in the harsh and beautiful Ice Age world they shared with the ones who called themselves the Clan of the Cave Bear. A natural disaster leaves the young girl wandering alone in an unfamiliar and dangerous land until she is found by a woman of the Clan, people very different from her own kind. To them, blond, blue-eyed Ayla looks peculiar and ugly--she is one of the Others, those who have moved into their ancient homeland; but Iza cannot leave the girl to die and takes her with them. Iza and Creb, the old Mog-ur, grow to love her, and as Ayla learns the ways of the Clan and Iza's way of healing, most come to accept her. But the brutal and proud youth who is destined to become their next leader sees her differences as a threat to his authority. He develops a deep and abiding hatred for the strange girl of the Others who lives in their midst, and is determined to get his revenge."
496,497,3685,3685,4639714,1033,439228905,9780439228910.0,Anna Sewell,1877.0,Black Beauty,Black Beauty,eng,3.94,183255,195205,3377,3633,11665,47165,62472,70270,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,3685,"['sales', 'and', 'marketing', 'sales', 'books', 'sales', 'marketing', 'salinger', 'sally', 'green', 'sally', 'lockhart', 'sally', 'thorne', 'salman', 'salman', 'rushdie', 'salsarahs', 'shelf', 'salt', 'salvage', 'salvaging', 'salvatore', 'salvatore', 'salvatore', 'ra', 'sam', 'sam', 'books', 'sam', 'harris', 'sam', 'completed', 'books', 'samad', 'behrangi', 'samantha', 'samantha', 'brinkman', 'samantha', 'brinkman', 'series', 'samantha', 'shannon', 'samantha', 'towle', 'samantha', 'young', 'samoa', 'sample', 'sampled', 'sams', 'toa', 'samuel', 'samuel', 'beckett', 'samurai', 'san', 'san', 'francisco', 'san', 'francisco', 'earthquake', 'san', 'juan', 'islands', 'san', 'pedro', 'laguna', 'kabalikatmagsaysay', 'sanat', 'sanctification', 'sandeep', 'books', 'sanderson', 'sanderson', 'brandon', 'sanderson', 'cosmere', 'sandford', 'sandford', 'davenport', 'sandford', 'flowers', 'sandford', 'sandford', 'john', 'sandford', 'prey', 'sandi', 'lynn', 'sandman', 'sandman', 'slim', 'sandra', 'sandra', 'boynton', 'sandra', 'brown', 'sandra', 'brown', 'books', 'sandra', 'brown', 'read', 'sandra', 'dallas', 'sandrabrown', 'sands', 'sands', 'lynsay', 'sands', 'lynsay', 'sands', 'of', 'time', 'sandy', 'office', 'sanford', 'sanford', 'davenport', 'sanford', 'flowers', 'sanford', 'john', 'sanfrancisco', 'earthquake', 'sang', 'pemimpi', 'sang', 'pemimpin', 'sanghvi', 'sanguines', 'sanskrit', 'sansom', 'santa', 'santangelos', 'sante', 'santmyer', 'helen', 'hooven', 'sapkowski', 'sapkowski', 'andrzej', 'sapphire', 'sara', 'sara', 'larson', 'sara', 'donati', 'sara', 'douglas', 'sara', 'douglass', 'sara', 'gruen', 'sara', 'paretsky', 'sara', 'shepard', 'sara', 'zarr', 'sarah', 'sarah', 'addison', 'allen', 'sarah', 'ban', 'breathnach', 'sarah', 'blake', 'sarah', 'blakley', 'cartwright', 'sarah', 'dessen', 'sarah', 'dessen', 'books']","Black Beauty spends his youth in a loving home, surrounded by friends and cared for by his owners. But when circumstances change, he learns that not all humans are so kind. Passed from hand to hand, Black Beauty witnesses love and cruelty, wealth and poverty, friendship and hardship . . . Will the handsome horse ever find a happy and lasting home? Carefully retold in clear contemporary language, and presented with delightful illustrations, these favorite classic stories capture the heart and imagination of young readers. By retelling the story in a shorter, simpler form, these books become highly engaging for children, and the color illustrations help with both comprehension and interest level. Black Beauty is part of a collectible series that has strong gift appeal."
497,498,656,656,4912783,1017,192833987,9780192833980.0,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",1869.0,Война и миръ,War and Peace,eng,4.11,168037,192992,8062,4952,9691,31876,60043,86430,https://images.gr-assets.com/books/1413215930m/656.jpg,https://images.gr-assets.com/books/1413215930s/656.jpg,656,"['chapter', 'chat', 'char', 'gideon', 'crew', 'chara', 'charac', 'character', 'character', 'character', 'doorway', 'character', 'driven', 'character', 'study', 'characteristics', 'characters', 'characters', 'become', 'your', 'friends', 'charismatic', 'charlaine', 'charlaine', 'harris', 'charlaine', 'harris', 'sookie', 'stackhouse', 'charlemagne', 'charles', 'charles', 'baudelaire', 'charles', 'bukowski', 'charles', 'burns', 'charles', 'darwin', 'charles', 'dickens', 'charles', 'frazier', 'charles', 'ii', 'charles', 'lindbergh', 'charles', 'sheldon', 'charles', 'manson', 'charles', 'martin', 'charles', 'nicky', 'charles', 'nordhoff', 'charles', 'portis', 'charles', 'stross', 'charles', 'wheelan', 'charleston', 'charleston', 'sc', 'charley', 'davidson', 'charley', 'davidson', 'series', 'charlie', 'charlie', 'bone', 'charlie', 'bone', 'series', 'charlie', 'brown', 'charlie', 'higson', 'charlie', 'lovett', 'charlie', 'munger', 'charlie', 'munger', 'recommendations', 'charlie', 'holmberg', 'charlie', 'parker', 'charlie', 'parker', 'series', 'charlotte', 'charlotte', 'bronte', 'charlotte', 'brontë', 'charlotte', 'hughes', 'charlotte', 'reviews', 'charlotte', 'rogan', 'chase', 'chasing', 'vermeer', 'chaucer', 'che', 'che', 'guevara', 'cheap', 'from', 'used', 'bookstore', 'cheater', 'cheaters', 'cheating', 'cheating', 'hero', 'chechnya', 'check', 'check', 'at', 'lib', 'check', 'later', 'check', 'library', 'check', 'out', 'check', 'out', 'from', 'library', 'checked', 'checked', 'out', 'of', 'library', 'checklist', 'checklists', 'checkout', 'before', 'purchase', 'cheer', 'up', 'cheesy', 'romance', 'cheever', 'chef', 'chefs', 'chefs', 'restaurants', 'chekhov', 'chelsea', 'chelsea', 'cain', 'chelsea', 'fine', 'chelsea', 'handler', 'chelsea', 'lately', 'chelsea', 'cameron', 'chemical', 'chemical', 'garden', 'chemistry', 'chennai', 'cherie', 'cherie', 'priest', 'cherise', 'sinclair', 'cherokee', 'cherokee', 'indians', 'cherrie', 'lynn']","In Russia's struggle with Napoleon, Tolstoy saw a tragedy that involved all mankind. Greater than a historical chronicle, War and Peace is an affirmation of life itself, `a complete picture', as a contemporary reviewer put it, `of everything in which people find their happiness and greatness, their grief and humiliation'. Tolstoy gave his personal approval to this translation, published here in a new single volume edition, which includes an introduction by Henry Gifford, and Tolstoy's important essay `Some Words about War and Peace'."
498,499,28676,28676,2270060,144,679735771,9780679735780.0,Bret Easton Ellis,1991.0,American Psycho,American Psycho,eng,3.81,166083,177109,7669,8639,13632,36830,61550,56458,https://images.gr-assets.com/books/1436934349m/28676.jpg,https://images.gr-assets.com/books/1436934349s/28676.jpg,28676,[],"Patrick Bateman is twenty-six and he works on Wall Street, he is handsome, sophisticated, charming and intelligent. He is also a psychopath. Taking us to head-on collision with America's greatest dream—and its worst nightmare—American Psycho is bleak, bitter, black comedy about a world we all recognise but do not wish to confront."
499,500,38980,38980,2073907,125,613371658,9780613371650.0,Meg Cabot,2000.0,The Princess Diaries,"The Princess Diaries (The Princess Diaries, #1)",eng,3.76,193140,200671,4289,5442,16659,57732,61651,59187,https://images.gr-assets.com/books/1355011082m/38980.jpg,https://images.gr-assets.com/books/1355011082s/38980.jpg,38980,[],"Mia Thermopolis is pretty sure there's nothing worse than being a five-foot-nine, flat-chested freshman, who also happens to be flunking Algebra.Is she ever in for a surprise.First mom announces that she's dating Mia's Algebra teacher. Then Dad has to go and reveal that he is the crown prince of Genovia. And guess who still doesn't have a date for the Cultural Diversity Dance?"
500,501,7061,7061,826298,108,1400034779,9781400034770.0,Alexander McCall Smith,1998.0,The No. 1 Ladies' Detective Agency ,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",eng,3.75,180320,189258,9369,6389,14860,49558,66723,51728,https://images.gr-assets.com/books/1459953654m/7061.jpg,https://images.gr-assets.com/books/1459953654s/7061.jpg,7061,[],"Precious Ramotswe has only just set up shop as Botswana's No.1 (and only) lady detective when she is hired to track down a missing husband, uncover a con man, and follow a wayward daughter. However, the case that tugs at her heart, and lands her in danger, is a missing eleven-year-old boy, who may have been snatched by witch doctors."
501,502,138398,138398,30474,36,1582406723,9781582406720.0,"Robert Kirkman, Tony Moore",2004.0,"The Walking Dead, Vol. 1: Days Gone Bye","The Walking Dead, Vol. 01: Days Gone Bye",en-GB,4.3,164530,167805,3397,3685,5008,20273,47455,91384,https://images.gr-assets.com/books/1389233242m/138398.jpg,https://images.gr-assets.com/books/1389233242s/138398.jpg,138398,[],"How many hours are in a day when you don't spend half of them watching television?When is the last time any of us REALLY worked to get something we wanted?How long has it been since any of us really NEEDED something that we WANTED?The world we knew is gone.The world of commerce and frivolous necessity has been replaced by a world of survival and responsibility.An epidemic of apocalyptic proportions has swept the globe causing the dead to rise and feed on the living.In a matter of months society has crumbled.no government, no grocery stores, no mail delivery, no cable TV.In a world ruled by the dead, we are forced to finally start living."
502,503,70535,70535,208362,221,451457994,9780451458000.0,Arthur C. Clarke,1968.0,2001: A Space Odyssey,"2001: A Space Odyssey (Space Odyssey, #1)",eng,4.12,170841,180661,3722,2050,6387,32236,67831,72157,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,70535,[],"On the Moon, an enigma is uncovered.So great are the implications of this discovery that for the first time men are sent out deep into our solar system.But long before their destination is reached, things begin to go horribly, inexplicably wrong...One of the greatest-selling science fiction novels of our time, this classic book will grip you to the very end."
503,504,11422,11422,820210,63,1590525132,9781590525140.0,Francine Rivers,1991.0,,Redeeming Love,eng,4.48,157506,163637,9147,2949,4277,13328,33009,110074,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,11422,[],"California’s gold country, 1850. A time when men sold their souls for a bag of gold and women sold their bodies for a place to sleep. Angel expects nothing from men but betrayal. Sold into prostitution as a child, she survives by keeping her hatred alive. And what she hates most are the men who use her, leaving her empty and dead inside. Then she meets Michael Hosea. A man who seeks his Father’s heart in everything, Michael Hosea obeys God’s call to marry Angel and to love her unconditionally. Slowly, day by day, he defies Angel’s every bitter expectation until, despite her resistance her frozen heart begins to thaw. But with her unexpected softening come overwhelming feelings of unworthiness and fear. And so Angel runs. Back to the darkness, away from her husband’s pursuing love, terrified of the truth she can no longer deny: Her final healing must come from the One who loves her even more than Michael Hosea does…the One who will never let her go. A life-changing story of God’s unconditional, redemptive, all-consuming love.--back cover"
504,505,27523,27523,972769,63,842342702,9780842342700.0,"Tim LaHaye, Jerry B. Jenkins",1995.0,Left Behind:  A Novel of the Earth's Last Days,"Left Behind (Left Behind, #1)",eng,3.81,161173,165021,3210,12626,13163,31144,43391,64697,https://images.gr-assets.com/books/1406505054m/27523.jpg,https://images.gr-assets.com/books/1406505054s/27523.jpg,27523,[],"An airborne Boeing 747 is headed to London when, without any warning, passengers mysteriously disappear from their seats. Terror and chaos slowly spread not only through the plane but also worldwide as unusual events continue to unfold. For those who have been left behind, the apocalypse has just begun..."
505,506,18635016,18635016,21587145,94,62059998,9780062059990.0,Kiera Cass,2014.0,The One,"The One (The Selection, #3)",eng,4.21,139544,237039,21608,3322,9750,35942,72422,115603,https://images.gr-assets.com/books/1395612906m/18635016.jpg,https://images.gr-assets.com/books/1395612906s/18635016.jpg,18635016,[],"The time has come for one winner to be crowned.When she was chosen to compete in the Selection, America never dreamed she would find herself anywhere close to the crown—or to Prince Maxon's heart. But as the end of the competition approaches, and the threats outside the palace walls grow more vicious, America realizes just how much she stands to lose—and how hard she'll have to fight for the future she wants."
506,507,7938275,7938275,11349083,78,545265355,9780545265360.0,Suzanne Collins,2010.0,The Hunger Games Box Set,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",eng,4.49,129665,159760,6429,1015,2521,13438,42932,99854,https://images.gr-assets.com/books/1360094673m/7938275.jpg,https://images.gr-assets.com/books/1360094673s/7938275.jpg,7938275,[],"The extraordinary, ground breaking New York Times bestsellers The Hunger Games and Catching Fire, along with the third book in The Hunger Games trilogy by Suzanne Collins, Mockingjay, are available for the first time ever in a beautiful boxset edition. Stunning, gripping, and powerful. The trilogy is now complete!"
